What is the expected output of the given code snippet?,World,str,HelloWORLD,Hello,D,Images/Part2_Q6.png,1
What is the expected output of the given code snippet?,Hellohello,helloHello,hello,Hello,A,Images/Part2_Q7.png,1
What is the missing code from the given code snippet?,import java.io.file;,Import java.io.File;,import java.io,import java.io.File;,D,Images/Part2_Q8.png,1
What is the missing code from the given code snippet?,Extends,implements,extends,Implements,B,Images/Part2_Q9.png,1
What is the expected output of the given code snippet?,Welcome!!!Welcome!!!Welcome!!!,Welcome!!!,Welcome!!!Welcome!!!,Welcome!!!Welcome!!!Welcome!!!Welcome!!!,B,Images/Part2_Q10.png,1
What is the expected output of the given code snippet?,Images/Part2_Q11A.png,Images/Part2_Q11B.png,Images/Part2_Q11C.png,Images/Part2_Q11D.png,A,Images/Part2_Q11.png,2
What is the expected output of the given code snippet?,Images/Part2_Q12A.png,Images/Part2_Q12B.png,Images/Part2_Q12C.png,Images/Part2_Q12D.png,B,Images/Part2_Q12.png,2
What is the expected output of the given code snippet?,Images/Part2_Q13A.png,Images/Part2_Q13B.png,Images/Part2_Q13C.png,Images/Part2_Q13D.png,C,Images/Part2_Q13.png,2
What is the expected output of the given code snippet?,Images/Part2_Q14A.png,Images/Part2_Q14B.png,Images/Part2_Q14C.png,Images/Part2_Q14D.png,D,Images/Part2_Q14.png,2
Select from the given code snippet the code that will be able to print the nodes using post order traversal.,Images/Part2_Q15A.png,Images/Part2_Q15B.png,Images/Part2_Q15C.png,Images/Part2_Q15D.png,A, ,3
Select from the given code snippet the code that will be able to print the nodes using pre-order traversal.,Images/Part2_Q16A.png,Images/Part2_Q16B.png,Images/Part2_Q16C.png,Images/Part2_Q16D.png,C, ,3
Determine which among the choices is the correct output of the given C program.,Images/Part2_Q17A.png,Images/Part2_Q17B.png,Images/Part2_Q17C.png,Images/Part2_Q17D.png,A,Images/Part2_Q17.png,2
What is the expected output of the given Java code below?,truetrue,truefalse,falsetrue,falsefalse,A,Images/Part2_Q18.png,1
What is the missing code in the given C program below?,Images/Part2_Q19A.png,Images/Part2_Q19B.png,Images/Part2_Q19C.png,Images/Part2_Q19D.png,B,Images/Part2_Q19.png,2
What is the missing code in the given C program below?,Images/Part2_Q20A.png,Images/Part2_Q20B.png,Images/Part2_Q20C.png,Images/Part2_Q20D.png,C,Images/Part2_Q20.png,2
What is the output of the given code below if the numbers |5|3|9|18|14|39| are inserted in the array respectively?,Images/Part2_Q21A.png,Images/Part2_Q21B.png,Images/Part2_Q21C.png,Images/Part2_Q21D.png,A,Images/Part2_Q21.png,2
What is the output of the given code below if the numbers |10|12|14|27|28|16| are inserted in the array respectively?,Images/Part2_Q22A.png,Images/Part2_Q22B.png,Images/Part2_Q22C.png,Images/Part2_Q22D.png,B,Images/Part2_Q22.png,2
Identify the missing line of code in the given C program below in order to implement bubble sort.,data[ j ],data[ j +1],data[j-1],data[j * 1],B,Images/Part2_Q23.png,1
Select from the options below the code that will correctly push an element to the top of the stack.,Images/Part2_Q24A.png,Images/Part2_Q24B.png,Images/Part2_Q24C.png,Images/Part2_Q24D.png,A, ,3
What is the expected output of the given code snippet?,5  3  2  5  2,3  5  3  5  2,3  5  2  5  2,2  3  5  2  3,C,Images/Part2_Q25.png,1
What is the expected output of the given code snippet?,Num is even.,Num is odd.,Semantic error,Compiler Error,B,Images/Part2_Q26.png,1
What is the expected output of the given code snippet?,z = 28,z = 28 /n,z = 28 \n z = 28,z = 28 /n z = 28 /n,B,Images/Part2_Q27.png,1
What is the missing code from the given code snippet?,#include <studio.h>,#include <math.h>;,#include <stdlib.h>;,#include <stdio.h>;,D,Images/Part2_Q28.png,1
What is the expected output of the given code snippet?,19,1,23,0,D,Images/Part2_Q29.png,1
What is the expected output of the given code snippet?,1,3,5,9,C,Images/Part2_Q30.png,1
What is the expected output of the given code snippet?,1,3,5,9,A,Images/Part2_Q31.png,1
What is the expected output of the given code snippet?,Hello,Hi,Good morning.,0,C,Images/Part2_Q32.png,1
What is the expected output of the given code snippet?,02,22,0,2,A,Images/Part2_Q33.png,1
What is the expected output of the given code snippet?,15 and 14,14 and 14,15 and 15,14 and 15,A,Images/Part2_Q34.png,1
Which of the given code snippet that outputs "It is a palindrome"?,Images/Part2_Q35A.png,Images/Part2_Q35B.png,Images/Part2_Q35C.png,Images/Part2_Q35D.png,C, ,3
Which of the given code snippet that outputs "It is an armstrong number"?,Images/Part2_Q36A.png,Images/Part2_Q36B.png,Images/Part2_Q36C.png,Images/Part2_Q36D.png,D, ,3
Which of the given code snippet prints "Hello"?,Images/Part2_Q37A.png,Images/Part2_Q37B.png,Images/Part2_Q37C.png,Images/Part2_Q37D.png,A, ,3
Which of the given code snippet convert a decimal number into a binary?,Images/Part2_Q38A.png,Images/Part2_Q38B.png,Images/Part2_Q38C.png,Images/Part2_Q38D.png,B, ,3
Which of the given code snippet convert a decimal number into an octal?,Images/Part2_Q39A.png,Images/Part2_Q39B.png,Images/Part2_Q39C.png,Images/Part2_Q39D.png,C, ,3
What is the expected output of the given code snippet?,Hello,Hi,Good morning,0,A,Images/Part2_Q40.png,1
Identify the missing code in the given code snippet.,int,float ,boolean,char,B,Images/Part2_Q41.png,1
What is the expected output of the C program below?,The value of y is 7 and the value of z is 6.,The value of y is 6 and the value of z is 6.,The value of y is 6 and the value of z is 7.,The value of y is 7 and the value of z is 7.,B,Images/Part2_Q42.png,1
What is the expected output of the C program below?,9 9 8 8,10 9 9 8,10 9 8 8,9 9 8 8,C,Images/Part2_Q43.png,1
What is the missing code in the given code snippet?,char str [6],char  str,String,Char str[6],A,Images/Part2_Q44.png,1
What is the expected output of given code below?,Smile Hello Smile Hello Smile,Hello Hello Hello Hello Hello,Hello Hello,Hello Smile Hello Smile Hello,B,Images/Part2_Q45.png,1
Which of the following code can provide the output below?,Images/Part2_Q46A.png,Images/Part2_Q46B.png,Images/Part2_Q46C.png,Images/Part2_Q46D.png,B,Images/Part2_Q46.png,2
What is the expected output of the given C program below?,5 Programming Programming 11,4 Learn Programming 5,4 Learn Learn 5,6 Learn Learn 11,C,Images/Part2_Q47.png,1
What is the expected output of the given code below?,The strings are not equal.,The strings are equal.,No output,Compilation Error,A,Images/Part2_Q48.png,1
Which of the following code can provide the output below?,Images/Part2_Q49A.png,Images/Part2_Q49B.png,Images/Part2_Q49C.png,Images/Part2_Q49D.png,B,Images/Part2_Q49.png,2
What is the expected output of the given C program below?,Images/Part2_Q50A.png,Images/Part2_Q50B.png,Images/Part2_Q50C.png,Images/Part2_Q50D.png,A,Images/Part2_Q50.png,2
What is the type of the variable length?,Boolean,Int,Float,String,D,Images/Part2_Q51.png,1
Which of the following code snippet does not print the variable name's value?,Images/Part2_Q52A.png,Images/Part2_Q52B.png,Images/Part2_Q52C.png,Images/Part2_Q52D.png,D, ,3
What is the expected output of the given code snippet?,-2,0,2,6,A,Images/Part2_Q53.png,1
Which of the code snippet executes the given code?,import math,import math.pi,import pi,from math import pi,D,Images/Part2_Q54.png,1
What will be the output of the code below?,Images/Part2_Q55A.png,Images/Part2_Q55B.png,Images/Part2_Q55C.png,Images/Part2_Q55D.png,B,Images/Part2_Q55.png,2
What will be the output of the code below?,Images/Part2_Q56A.png,Images/Part2_Q56B.png,Images/Part2_Q56C.png,Images/Part2_Q56D.png,A,Images/Part2_Q56.png,2
What code is required to make the code below output 'x'?,x+=x,break;,x+=1,x = x + x,C,Images/Part2_Q57.png,1
What code is required to make an output like the given image?,Images/Part2_Q58A.png,Images/Part2_Q58B.png,Images/Part2_Q58C.png,Images/Part2_Q58D.png,C,Images/Part2_Q58.png,2
Which of the code below is not the proper way of creating a fucntion in python?,def hello():,def add(left):,def subtract(add):,def hello(name);,D, ,4
What is the expected output of the given Python program below?,Images/Part2_Q60A.png,Images/Part2_Q60B.png,Images/Part2_Q60C.png,Images/Part2_Q60D.png,B,Images/Part2_Q60.png,2
What is the expected output of the given Python program below?,GraceGraceGraceGraceGraceGraceGraceGrace,GraceGraceGraceGrace,Grace,Compilation Error,A,Images/Part2_Q61.png,1
Select from the options the code that will print the output below.,Images/Part2_Q62A.png,Images/Part2_Q62B.png,Images/Part2_Q62C.png,Images/Part2_Q62D.png,B,Images/Part2_Q62.png,2
Select from the options the code that will print the output below.,Images/Part2_Q63A.png,Images/Part2_Q63B.png,Images/Part2_Q63C.png,Images/Part2_Q63D.png,A,Images/Part2_Q63.png,2
What is the expected output of the given Python program below?,56,32,8,87,B,Images/Part2_Q64.png,1
What is the expected output of the given Python program below?,6561  81,36  12,No output ,Compilation Error ,A,Images/Part2_Q65.png,1
Which of the given code snippet does not print "I am learning! Horray!"?,Images/Part2_Q66A.png,Images/Part2_Q66B.png,Images/Part2_Q66C.png,Images/Part2_Q66D.png,D, ,3
What is the expected output of the given C++ program below?,Pizza,food,food = pizza,Compilation error,A,Images/Part2_Q67.png,1
Which of the given code snippet prints "99"?,Images/Part2_Q68A.png,Images/Part2_Q68B.png,Images/Part2_Q68C.png,Images/Part2_Q68D.png,C, ,3
The logical NOT operator in C++ has the following notation:,not,!,:,|,B, ,4
The header file that must be included in a C++ program when using the cout function is,#include <conio.h>,#include <math.h>,#include <iostream.h>,#include <stdio.h>,C, ,4
What is the expected output of the given C++ program below?,Images/Part2_Q71A.png,Images/Part2_Q71B.png,Images/Part2_Q71C.png,Images/Part2_Q71D.png,A,Images/Part2_Q71.png,2
What is the expected output of the given C++ program below?,7,8,5,Compilation Error,B,Images/Part2_Q72.png,1
Select from the options the code that will print the output below.,Images/Part2_Q73A.png,Images/Part2_Q73B.png,Images/Part2_Q73C.png,Images/Part2_Q73D.png,A,Images/Part2_Q73.png,2
Which of the options below copies a specified bytes of data from source to destination?,Images/Part2_Q74A.png,Images/Part2_Q74B.png,Images/Part2_Q74C.png,Images/Part2_Q74D.png,A, ,3
What is the expected output of the given C++ program below?,The current size of the list is : 5,The current size of the list is : 4,The current size of the list is : 3,Compilation Error,C,Images/Part2_Q75.png,1
